MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM
E02003122,Plymouth 001,E06000026,Plymouth,E12000009,South West
E02003123,Plymouth 002,E06000026,Plymouth,E12000009,South West
E02003124,Plymouth 003,E06000026,Plymouth,E12000009,South West
E02003125,Plymouth 004,E06000026,Plymouth,E12000009,South West
E02003126,Plymouth 005,E06000026,Plymouth,E12000009,South West
E02003127,Plymouth 006,E06000026,Plymouth,E12000009,South West
E02003128,Plymouth 007,E06000026,Plymouth,E12000009,South West
E02003129,Plymouth 008,E06000026,Plymouth,E12000009,South West
E02003130,Plymouth 009,E06000026,Plymouth,E12000009,South West
E02003131,Plymouth 010,E06000026,Plymouth,E12000009,South West
E02003132,Plymouth 011,E06000026,Plymouth,E12000009,South West
E02003133,Plymouth 012,E06000026,Plymouth,E12000009,South West
E02003134,Plymouth 013,E06000026,Plymouth,E12000009,South West
E02003135,Plymouth 014,E06000026,Plymouth,E12000009,South West
E02003136,Plymouth 015,E06000026,Plymouth,E12000009,South West
E02003137,Plymouth 016,E06000026,Plymouth,E12000009,South West
E02003138,Plymouth 017,E06000026,Plymouth,E12000009,South West
E02003139,Plymouth 018,E06000026,Plymouth,E12000009,South West
E02003140,Plymouth 019,E06000026,Plymouth,E12000009,South West
E02003141,Plymouth 020,E06000026,Plymouth,E12000009,South West
E02003142,Plymouth 021,E06000026,Plymouth,E12000009,South West
E02003143,Plymouth 022,E06000026,Plymouth,E12000009,South West
E02003144,Plymouth 023,E06000026,Plymouth,E12000009,South West
E02003145,Plymouth 024,E06000026,Plymouth,E12000009,South West
E02003146,Plymouth 025,E06000026,Plymouth,E12000009,South West
E02003147,Plymouth 026,E06000026,Plymouth,E12000009,South West
E02003148,Plymouth 027,E06000026,Plymouth,E12000009,South West
E02003149,Plymouth 028,E06000026,Plymouth,E12000009,South West
E02003150,Plymouth 029,E06000026,Plymouth,E12000009,South West
E02003151,Plymouth 030,E06000026,Plymouth,E12000009,South West
E02003152,Plymouth 031,E06000026,Plymouth,E12000009,South West
E02003153,Plymouth 032,E06000026,Plymouth,E12000009,South West
E02003154,Torbay 001,E06000027,Torbay,E12000009,South West
E02003155,Torbay 002,E06000027,Torbay,E12000009,South West
E02003156,Torbay 003,E06000027,Torbay,E12000009,South West
E02003157,Torbay 004,E06000027,Torbay,E12000009,South West
E02003158,Torbay 005,E06000027,Torbay,E12000009,South West
E02003159,Torbay 006,E06000027,Torbay,E12000009,South West
E02003161,Torbay 008,E06000027,Torbay,E12000009,South West
E02003163,Torbay 010,E06000027,Torbay,E12000009,South West
E02003164,Torbay 011,E06000027,Torbay,E12000009,South West
E02003165,Torbay 012,E06000027,Torbay,E12000009,South West
E02003166,Torbay 013,E06000027,Torbay,E12000009,South West
E02003167,Torbay 014,E06000027,Torbay,E12000009,South West
E02003168,Torbay 015,E06000027,Torbay,E12000009,South West
E02003169,Torbay 016,E06000027,Torbay,E12000009,South West
E02003170,Torbay 017,E06000027,Torbay,E12000009,South West
E02003171,Torbay 018,E06000027,Torbay,E12000009,South West
E02003892,Cornwall 010,E06000052,Cornwall,E12000009,South West
E02003893,Cornwall 012,E06000052,Cornwall,E12000009,South West
E02003894,Cornwall 013,E06000052,Cornwall,E12000009,South West
E02003895,Cornwall 016,E06000052,Cornwall,E12000009,South West
E02003896,Cornwall 017,E06000052,Cornwall,E12000009,South West
E02003897,Cornwall 022,E06000052,Cornwall,E12000009,South West
E02003898,Cornwall 023,E06000052,Cornwall,E12000009,South West
E02003899,Cornwall 025,E06000052,Cornwall,E12000009,South West
E02003900,Cornwall 026,E06000052,Cornwall,E12000009,South West
E02003901,Cornwall 028,E06000052,Cornwall,E12000009,South West
E02003902,Cornwall 029,E06000052,Cornwall,E12000009,South West
E02003903,Cornwall 034,E06000052,Cornwall,E12000009,South West
E02003904,Cornwall 037,E06000052,Cornwall,E12000009,South West
E02003905,Cornwall 032,E06000052,Cornwall,E12000009,South West
E02003906,Cornwall 033,E06000052,Cornwall,E12000009,South West
E02003907,Cornwall 040,E06000052,Cornwall,E12000009,South West
E02003908,Cornwall 042,E06000052,Cornwall,E12000009,South West
E02003909,Cornwall 043,E06000052,Cornwall,E12000009,South West
E02003910,Cornwall 044,E06000052,Cornwall,E12000009,South West
E02003911,Cornwall 047,E06000052,Cornwall,E12000009,South West
E02003912,Cornwall 048,E06000052,Cornwall,E12000009,South West
E02003913,Cornwall 056,E06000052,Cornwall,E12000009,South West
E02003914,Cornwall 060,E06000052,Cornwall,E12000009,South West
E02003915,Cornwall 062,E06000052,Cornwall,E12000009,South West
