MSOA01CD,NS-SeC_all_2001,NS-SeC_higher_2001,NS-SeC_higher_2001_pct
E02002559,4792,1667,0.347871452
E02002560,4371,1014,0.231983528
E02002561,4516,1276,0.28255093
E02002562,4260,782,0.183568075
E02002563,3926,752,0.191543556
E02002564,6421,1133,0.176452266
E02002565,4080,1011,0.247794118
E02002566,4691,958,0.204220848
E02002567,4712,661,0.140280136
E02002568,3703,1523,0.411288145
E02002569,6505,2344,0.360338201
E02002570,5151,783,0.152009319
E02002571,3551,470,0.132357083
E02002572,4206,825,0.196148359
E02002573,5197,1728,0.332499519
E02002483,5388,1137,0.211024499
E02002484,6708,727,0.108378056
E02002485,6236,788,0.126363053
E02002486,4349,1571,0.361232467
E02002487,3906,587,0.150281618
E02002488,4152,1204,0.289980732
E02002489,5207,891,0.171115806
E02002490,4684,630,0.134500427
E02002491,4398,521,0.118462938
E02002492,4326,579,0.133841886
E02002493,4403,1100,0.249829662
E02002494,5461,487,0.089177806
E02002495,4001,873,0.218195451
E02002496,7118,575,0.080781118
E02002497,4523,407,0.089984524
E02002498,6508,669,0.102796558
E02002499,4873,342,0.070182639
E02002500,3965,833,0.210088272
E02002501,3872,523,0.135072314
E02002502,6796,552,0.08122425
E02002503,4626,601,0.129917856
E02002504,5863,1648,0.281084769
E02002505,4297,307,0.071445194
E02002506,3555,426,0.119831224
E02002507,4109,1080,0.262837673
E02002508,3733,904,0.242164479
E02002509,4197,783,0.18656183
E02002510,4573,1050,0.229608572
E02002511,7158,2332,0.325789327
E02002512,3803,1298,0.341309493
E02002513,6470,1136,0.175579598
E02002514,6073,1503,0.247488885
E02002515,4791,835,0.174285118
E02002516,4418,655,0.14825713
E02002517,3943,537,0.136190718
E02002518,7696,2187,0.284173597
E02002519,4919,743,0.151046961
E02002520,9335,2179,0.233422603
E02002521,4209,1190,0.282727489
E02002522,4381,414,0.094498973
E02002523,4769,352,0.073810023
E02002524,4039,693,0.171577123
E02002525,6401,876,0.136853617
E02002526,4678,854,0.182556648
E02002527,4075,407,0.099877301
E02002528,4110,755,0.183698297
E02002529,4332,803,0.185364728
E02002530,4693,730,0.15555082
E02002531,5845,1029,0.176047904
E02002532,4128,629,0.152374031
E02002533,4439,1396,0.314485244
E02002534,4844,1638,0.338150289
E02002535,7360,2290,0.311141304
E02002536,6721,1140,0.169617616
E02002537,6043,672,0.111203045
E02002538,4030,752,0.186600496
E02002539,5805,2041,0.351593454
E02002540,4751,1424,0.299726373
E02002541,4560,954,0.209210526
E02002542,5542,647,0.116744857
E02002543,5157,652,0.126430095
E02002544,6169,801,0.129842762
E02002545,4436,1051,0.236925158
E02002546,5137,717,0.139575628
E02002547,4558,1206,0.264589732
E02002548,6774,732,0.10806023
E02002549,6213,1707,0.274746499
E02002550,4527,1221,0.269715043
E02002551,3970,535,0.134760705
E02002552,4561,637,0.139662355
E02002553,3678,578,0.157150625
E02002554,4062,542,0.133431807
E02002555,6943,2230,0.321186807
E02002556,5430,2075,0.38213628
E02002557,5443,2363,0.434135587
E02002558,7485,2913,0.389178357
E02004290,4736,1329,0.280616554
E02004291,5078,930,0.18314297
E02004292,5782,1630,0.281909374
E02004293,6497,1063,0.163613976
E02004294,6378,2256,0.353715898
E02004295,5536,1546,0.279263006
E02004296,5791,1165,0.201174236
E02004297,5719,1561,0.272949816
E02004298,6808,2135,0.313601645
E02004299,5693,1132,0.198840682
E02004300,5448,822,0.150881057
E02004301,5778,606,0.104880582
E02004302,5509,763,0.138500635
E02004303,6886,1497,0.217397618
E02004304,5464,813,0.148792094
E02004305,5565,1030,0.185085355
E02004306,4212,1232,0.292497626
E02004307,4805,1062,0.221019771
E02004308,6242,2109,0.337872477
E02004309,4040,1100,0.272277228
E02004310,5631,1259,0.223583733
E02004311,6512,1596,0.245085995
E02004312,6046,1896,0.313595766
E02004313,4604,704,0.152910513
E02004314,9201,1060,0.115204869
E02004315,6318,2488,0.393795505
E02004316,4192,726,0.173187023
E02004317,5445,1084,0.199081726
E02004318,4419,1337,0.30255714
E02004319,5113,1049,0.205163309
E02004320,5647,1073,0.190012396
E02004321,5932,835,0.140761969
E02004322,6119,535,0.087432587
E02004323,4846,702,0.144861742
E02004324,4378,751,0.171539516
E02004325,6209,532,0.085682074
E02004326,4209,505,0.119980993
E02004327,4825,513,0.106321244
E02004328,5771,777,0.134638711
E02004329,5350,1317,0.246168224
E02004330,4657,615,0.132059266
E02004331,5020,516,0.102788845
E02004332,4768,867,0.181837248
E02004333,5577,1299,0.232920925
E02004334,5311,900,0.169459612
E02004335,4798,603,0.125677366
E02004336,4957,614,0.123865241
E02004337,6124,1079,0.176192031
E02004338,4990,699,0.14008016
E02004339,4663,1630,0.349560369
E02004340,7476,899,0.120251471
E02004341,6101,2023,0.331584986
E02004342,3850,431,0.111948052
E02004343,4136,669,0.161750484
E02004344,5329,925,0.173578533
E02004345,9323,2055,0.220422611
E02004346,3807,966,0.253743105
E02004347,4807,1118,0.232577491
E02004348,5847,1453,0.248503506
E02004349,5777,748,0.129478968
E02004350,6397,1337,0.209004221
E02004351,4947,672,0.135839903
E02004352,5062,853,0.16851047
E02004353,5754,1523,0.264685436
E02004354,5314,894,0.168234851
E02004355,5029,550,0.109365679
E02005702,4375,1359,0.310628571
E02005703,4629,923,0.199395118
E02005704,8571,1987,0.231828258
E02005705,5055,1375,0.272007913
E02005706,6562,960,0.146296861
E02005707,4988,1074,0.21531676
E02005708,7309,1383,0.189218771
E02005709,4544,426,0.09375
