MSOA11CD,earnings_2011
E02000001,39523.6
E02000002,13172.99
E02000003,15585.04
E02000004,14980.67
E02000005,13892.84
E02000007,13379.81
E02000008,12948.85
E02000009,13099.21
E02000010,13213.52
E02000011,15048.51
E02000012,14771.79
E02000013,13627.18
E02000014,13025.59
E02000015,13694.94
E02000016,14886.55
E02000017,13557.88
E02000018,13075.49
E02000019,13930.4
E02000020,12914.74
E02000021,13678.86
E02000022,12089.1
E02000023,13107.19
E02000024,22445.4
E02000025,21385.74
E02000026,20327.81
E02000027,16261.03
E02000028,22429.97
E02000029,19786.69
E02000030,20109.12
E02000031,21071.33
E02000032,19658.19
E02000033,17189.56
E02000034,20063.39
E02000035,20967.76
E02000036,18346.4
E02000037,18612.55
E02000038,18818.49
E02000039,22077.34
E02000040,17796.2
E02000041,16545.1
E02000042,19142.41
E02000043,23599.08
E02000044,15181.88
E02000045,18110
E02000046,22273.2
E02000047,12791.68
E02000048,22278.84
E02000049,12654.12
E02000050,18439.82
E02000051,21639.16
E02000052,22587.3
E02000053,16538.02
E02000054,19223.12
E02000055,17466.76
E02000056,25407.93
E02000057,18192.9
E02000058,24287.18
E02000059,14033.96
E02000060,17652.54
E02000061,23899.99
E02000062,15025.22
E02000063,16922.6
E02000064,17650.76
E02000065,16822.49
E02000066,14035.48
E02000067,15581.19
E02000068,16017.22
E02000069,16329.61
E02000070,17751.9
E02000071,16203.55
E02000072,14476.13
E02000073,17520.03
E02000074,14841.32
E02000075,17953.57
E02000077,16290.58
E02000078,18696.06
E02000079,18641.99
E02000080,16816.85
E02000081,17247.44
E02000082,17655.59
E02000083,16714.52
E02000084,18994.74
E02000085,17421.28
E02000086,19209.56
E02000087,21284.18
E02000088,18431.5
E02000089,18100.32
E02000090,18806.71
E02000091,19160.64
E02000092,16957.05
E02000093,14576
E02000094,14486.47
E02000095,13871.05
E02000096,18694.46
E02000097,13845.67
E02000098,16011.94
E02000099,16129.01
E02000100,19311.7
E02000101,13837.55
E02000102,12492.28
E02000103,13661.49
E02000104,14443.3
E02000105,14505.69
E02000106,13735.22
E02000107,16992.73
E02000108,14107.07
E02000109,14442.37
E02000110,17838.76
E02000111,12448.99
E02000112,12734.88
E02000113,10759.78
E02000114,17325.8
E02000115,20457.65
E02000116,13085.8
E02000117,11824.9
E02000118,11884.58
E02000119,11595.35
E02000120,21331.04
E02000121,12401.12
E02000122,19121.39
E02000123,13891.18
E02000124,22414.95
E02000125,19068.55
E02000126,13575.26
E02000127,16211.57
E02000128,20171.97
E02000130,21457.3
E02000131,22480.16
E02000132,26284.94
E02000133,25651.49
E02000134,22336.58
E02000135,14301.11
E02000136,17654.34
E02000137,24844.86
E02000138,27653.13
E02000139,23323.31
E02000140,14031.2
E02000141,20961.32
E02000142,23074.1
E02000144,26471.58
E02000145,14952.17
E02000146,20429.67
E02000147,24513.67
E02000148,22764.16
E02000149,17398.28
E02000150,19699.02
E02000151,23025.62
E02000152,15772.42
E02000153,21092.87
E02000154,21165.72
E02000155,18548.84
E02000156,20287.28
E02000157,22132.46
E02000158,18846.46
E02000159,21829.68
E02000160,20458.6
E02000161,21923.23
E02000162,19589.12
E02000163,21832.08
E02000165,19962.58
E02000166,23255.15
E02000167,35410.77
E02000168,24429.76
E02000169,29153.2
E02000170,28673.11
E02000171,26209.21
E02000172,15346.83
E02000173,33202.72
E02000174,20870.04
E02000175,28463
E02000176,36031.74
E02000177,17584.75
E02000178,21190.82
E02000179,25682.28
E02000180,19935.8
E02000181,32109.99
E02000182,23962.89
E02000183,26531.55
E02000184,15681.43
E02000185,17243.99
E02000186,21492.86
E02000187,12690.12
E02000188,12903.2
E02000189,14966.63
E02000190,18485.23
E02000191,22071.29
E02000192,19614.24
E02000193,24882.72
E02000194,22193.79
E02000195,19010.53
E02000196,15562.67
E02000197,16291.57
E02000198,16111.04
E02000199,17330.87
E02000200,19238.14
E02000201,16033.74
E02000202,15261.71
E02000203,15362.38
E02000204,14923.83
E02000206,15877.55
E02000207,16264.96
E02000208,12944.04
E02000209,14631.84
E02000210,19797.67
E02000211,19576.43
E02000212,13335.28
E02000213,15127.59
E02000214,19784.53
E02000215,20574.93
E02000216,25540.86
E02000217,18856.17
E02000218,17226.23
E02000219,20330.22
E02000220,20745.08
E02000221,16668.81
E02000222,24307.88
E02000223,12006.83
E02000224,22261.37
E02000225,13277.95
E02000226,20751.15
E02000227,18990.18
E02000228,23600.19
E02000229,12322.28
E02000230,21801.61
E02000231,20671.26
E02000232,18870.74
E02000233,20369.53
E02000234,20930.43
E02000235,22660.83
E02000236,21920.19
E02000237,19152.2
E02000238,15531.93
E02000239,16037.68
E02000240,14063.77
E02000241,16659.33
E02000242,14144.11
E02000243,15530.82
E02000244,17800.4
E02000245,13093.09
E02000246,13034.09
E02000247,14256.84
E02000248,19785.18
E02000249,14511.18
E02000250,27241.42
E02000251,14269.47
E02000252,16521.76
E02000253,13802.67
E02000254,12505.41
E02000255,21012.89
E02000256,26036.1
E02000257,26633.52
E02000258,19397.66
E02000259,20467.22
E02000260,12205
E02000261,16998.71
E02000262,17934.19
E02000263,10856.37
E02000264,23236.85
E02000265,18562.75
E02000266,11576.26
E02000267,20775.8
E02000268,22777.16
E02000269,25849.66
E02000270,14772.55
E02000271,30734.24
E02000272,22875.06
E02000274,10850.41
E02000275,11988.54
E02000276,25164.89
E02000277,14821.31
E02000278,12921.66
E02000279,14865.54
E02000280,18115.03
E02000281,15958.87
E02000282,12572.82
E02000283,13552.75
E02000284,20758.48
E02000285,19021.28
E02000286,23190.65
E02000287,19404.3
E02000288,13167.78
E02000289,18996.96
E02000290,12898.15
E02000291,18834.41
E02000292,16893.2
E02000293,21188.94
E02000294,12928.66
E02000295,19967.91
E02000296,17605.57
E02000297,19239.15
E02000298,22807.06
E02000299,13356.99
E02000300,14283.3
E02000301,12628.25
E02000302,16436.35
E02000303,12151.4
E02000304,21607.79
E02000305,20052.47
E02000306,11259.18
E02000307,13998.14
E02000308,16456.43
E02000309,12956.23
E02000311,14293.29
E02000312,18702.82
E02000313,14167.23
E02000314,16165.38
E02000315,13998.86
E02000316,18394.81
E02000317,13946.23
E02000318,12926.52
E02000319,14743.87
E02000320,15785.92
E02000321,13940.46
E02000323,12809.16
E02000324,14803
E02000326,20661.58
E02000327,14063.79
E02000328,25265.96
E02000329,15963.61
E02000331,16570.96
E02000332,20870.49
E02000333,30636.15
E02000334,17553.19
E02000335,19345.65
E02000337,14671.52
E02000339,20849.72
E02000340,19936.88
E02000341,14176.18
E02000342,16249.01
E02000343,16584.15
E02000344,18072.87
E02000345,15863.35
E02000346,12103.03
E02000347,15901.45
E02000348,13466.99
E02000350,18293.38
E02000351,22810.82
E02000352,18571.07
E02000353,21694.26
E02000354,14559.4
E02000355,16693.55
E02000356,22362.8
E02000357,11941.21
E02000358,17163.25
E02000359,15212.14
E02000360,14089.03
E02000361,17564.68
E02000362,14912.1
E02000363,12935.01
E02000364,20784.81
E02000365,19549.18
E02000366,16365.99
E02000367,20657.22
E02000368,13777.81
E02000369,16252.52
E02000370,16483.23
E02000371,21153.46
E02000372,15895.81
E02000373,12197.92
E02000374,18730.75
E02000375,19432.36
E02000376,19839.65
E02000377,19734.12
E02000378,25956.97
E02000379,22163.37
E02000380,25792.68
E02000381,27626.75
E02000382,26179.42
E02000383,24053.84
E02000384,18361.44
E02000385,31577.46
E02000386,18149.03
E02000387,20646.54
E02000388,22886.62
E02000389,25542.29
E02000390,22983.9
E02000391,26208.64
E02000392,26380.89
E02000393,31083.07
E02000394,23794.47
E02000395,33286.39
E02000396,25221.35
E02000397,17036.33
E02000398,11499.62
E02000400,18520.55
E02000401,11721.06
E02000402,11420.37
E02000403,15745.63
E02000404,13540.19
E02000405,27587.96
E02000406,13403.35
E02000407,12783.37
E02000408,12085.85
E02000409,12652.96
E02000410,27239.16
E02000411,13645.73
E02000412,14735.31
E02000413,25790.02
E02000414,14568.21
E02000415,14932.89
E02000416,19863.15
E02000417,29108.26
E02000418,27516.59
E02000419,17858.35
E02000420,13531.19
E02000421,12831.06
E02000422,13792.06
E02000423,14816.7
E02000424,24632.98
E02000425,13719.62
E02000426,27243.47
E02000427,18949.73
E02000428,13016.42
E02000429,33688.59
E02000430,32023.38
E02000431,36684.61
E02000432,24012.16
E02000433,20119.12
E02000434,18459.99
E02000435,17372.99
E02000436,21973.14
E02000437,16811.18
E02000438,17487.13
E02000439,14236.48
E02000440,18433.03
E02000441,20102.47
E02000442,13580.59
E02000443,13835.13
E02000444,15319.7
E02000445,14718.38
E02000447,18615.13
E02000448,25324.59
E02000449,12229.53
E02000451,21132.1
E02000452,18571.08
E02000453,19109.03
E02000454,23497.41
E02000455,20544.72
E02000456,18325.9
E02000457,19632.97
E02000459,15498.08
E02000460,14127.89
E02000461,24208.34
E02000462,14967.29
E02000463,13914.15
E02000464,13590.61
E02000465,13515.73
E02000466,15292.91
E02000467,12654.41
E02000468,15316.82
E02000469,14250.25
E02000470,18789.65
E02000471,18071.8
E02000472,16402.24
E02000473,18351
E02000474,16274.07
E02000475,20742.91
E02000476,18004.91
E02000477,18920.7
E02000478,19697.97
E02000479,17985.12
E02000480,16727.97
E02000481,17532.14
E02000482,20703.13
E02000483,17118.62
E02000484,17223.35
E02000485,18963.64
E02000486,17506.11
E02000487,20560.77
E02000488,17380.31
E02000489,15393.29
E02000490,14833.88
E02000491,14689.28
E02000492,16462.78
E02000493,15328.16
E02000494,24468.8
E02000495,21254.98
E02000496,17863.64
E02000497,20315.19
E02000498,20789.07
E02000499,21274.48
E02000500,22026.17
E02000501,19929.25
E02000502,19909.29
E02000503,20211.19
E02000504,21736.55
E02000506,20354.45
E02000507,16960.32
E02000508,17379.96
E02000509,15789.19
E02000510,17569.77
E02000511,15050.94
E02000512,14361.66
E02000513,14333.11
E02000514,13529.27
E02000515,16224.13
E02000516,15422.93
E02000517,12752.05
E02000518,13925.27
E02000519,12405.7
E02000520,12881.38
E02000521,13675.98
E02000522,15489.7
E02000523,13595.28
E02000524,16176.11
E02000525,14935.48
E02000526,30101.04
E02000528,17882.09
E02000529,14100.33
E02000530,12223.83
E02000531,19783.94
E02000532,26418.15
E02000533,27905.76
E02000534,21190.47
E02000535,14417.49
E02000536,14653.09
E02000537,18175.05
E02000538,13382.31
E02000539,19907.93
E02000540,16907.59
E02000541,12893.36
E02000542,13925.47
E02000543,17992.64
E02000544,16600.52
E02000545,17714.29
E02000546,14778.74
E02000547,14828.25
E02000548,14673.24
E02000549,14612.03
E02000550,16323.51
E02000551,13362.79
E02000552,18172.19
E02000553,16939.8
E02000554,16806.18
E02000555,18836.16
E02000556,19176.6
E02000557,19165.64
E02000558,13611.13
E02000559,23637.82
E02000560,19611.59
E02000561,24841.02
E02000562,21230.49
E02000563,15640.5
E02000564,21836.81
E02000565,18531.94
E02000566,26053.26
E02000567,21571.11
E02000568,15071.01
E02000569,21634.66
E02000570,30239.75
E02000571,19452.07
E02000572,13992.75
E02000573,27845.63
E02000574,21857.81
E02000575,22662.71
E02000576,18046.16
E02000577,13697.23
E02000578,13980.69
E02000579,20116.62
E02000580,20392.71
