MSOA11CD,median_price_2001
E02000001,237500
E02000002,95000
E02000003,115000
E02000004,109500
E02000005,89995
E02000007,87995
E02000008,84000
E02000009,85000
E02000010,88500
E02000011,87995
E02000012,138000
E02000013,85000
E02000014,84972.5
E02000015,64000
E02000016,69000
E02000017,108000
E02000018,84500
E02000019,86995
E02000020,89500
E02000021,79622.5
E02000022,84475
E02000023,92000
E02000024,193500
E02000025,139750
E02000026,191500
E02000027,167000
E02000028,146000
E02000029,141500
E02000030,312250
E02000031,225000
E02000032,239995
E02000033,180000
E02000034,144500
E02000035,168000
E02000036,177000
E02000037,239500
E02000038,212500
E02000039,216000
E02000040,192000
E02000041,190000
E02000042,165000
E02000043,249950
E02000044,134725
E02000045,144000
E02000046,185000
E02000047,124000
E02000048,194750
E02000049,122000
E02000050,200000
E02000051,223250
E02000052,173250
E02000053,119950
E02000054,159950
E02000055,185985
E02000056,413000
E02000057,195000
E02000058,283000
E02000059,147000
E02000060,250000
E02000061,249000
E02000062,144000
E02000063,149300
E02000064,170000
E02000065,107500
E02000066,79995
E02000067,84997.5
E02000068,86000
E02000069,87500
E02000070,132000
E02000071,110500
E02000072,81000
E02000073,145000
E02000074,89972.5
E02000075,144000
E02000077,126995
E02000078,119995
E02000079,119500
E02000080,122500
E02000081,122500
E02000082,132000
E02000083,101497.5
E02000084,145000
E02000085,119972.5
E02000086,140000
E02000087,160000
E02000088,145000
E02000089,164500
E02000090,114000
E02000091,140000
E02000092,107000
E02000093,170000
E02000094,161500
E02000095,173000
E02000096,224000
E02000097,165000
E02000098,203000
E02000099,161500
E02000100,221500
E02000101,130000
E02000102,115500
E02000103,140500
E02000104,166000
E02000105,134500
E02000106,132000
E02000107,160000
E02000108,127000
E02000109,146500
E02000110,222500
E02000111,126000
E02000112,145500
E02000113,110000
E02000114,157312.5
E02000115,194600
E02000116,131850
E02000117,115000
E02000118,140000
E02000119,105000
E02000120,187000
E02000121,132500
E02000122,248475
E02000123,133000
E02000124,240000
E02000125,176250
E02000126,179950
E02000127,105000
E02000128,164975
E02000130,132000
E02000131,94250
E02000132,130750
E02000133,273750
E02000134,143000
E02000135,87000
E02000136,136250
E02000137,154950
E02000138,164000
E02000139,149995
E02000140,117250
E02000141,117750
E02000142,161750
E02000144,158500
E02000145,100000
