LAD11CD,median_price_2001_la,median_price_2011_la
E06000001,48995,105000
E06000002,45000,102000
E06000003,52500,110000
E06000004,59950,124000
E06000005,56000,120000
E06000006,56000,115000
E06000007,77000,147500
E06000008,41000,92750
E06000009,48000,96000
E06000010,37500,88000
E06000011,65000,138000
E06000012,47950,110000
E06000013,52950,112000
E06000014,87500,173375
E06000015,57500,119000
E06000016,54500,122000
E06000017,115000,203500
E06000018,51725,95000
E06000019,92500,180000
E06000020,65525,135250
E06000021,38000,85000
E06000022,124000,228750
E06000023,89950,170000
E06000024,96000,184000
E06000025,96500,180000
E06000026,64275,142000
E06000027,82500,160000
E06000028,104950,193000
E06000029,115000,210000
E06000030,96500,150000
E06000031,63000,130000
E06000032,79000,150000
E06000033,84000,180000
E06000034,88000,170000
E06000035,79995,149000
E06000036,138000,224000
E06000037,149995,247000
E06000038,124000,190000
E06000039,113500,190000
E06000040,200000,327000
E06000041,170850,275000
E06000042,94950,175000
E06000043,124000,240000
E06000044,82000,149000
E06000045,89950,160000
E06000046,87000,170000
E06000047,48000,100000
E06000057,64000,135000
E06000049,89500,171000
E06000050,85000,155000
E06000051,86000,170000
E06000052,85000,184000
E06000053,180000,335000
E06000054,117500,205000
E06000055,92000,179000
E06000056,106950,189000
E07000004,125000,230000
E07000005,225000,358000
E07000006,220000,390000
E07000007,150000,250000
E07000008,140000,262000
E07000009,109000,185000
E07000010,65000,132000
E07000011,92000,175000
E07000012,142000,242000
E07000026,60000,129000
E07000027,38000,95500
E07000028,51000,120000
E07000029,43773,112000
E07000030,76250,170000
E07000031,89950,193500
E07000032,60000,125000
E07000033,46950,95000
E07000034,55000,117450
E07000035,100000,198975
E07000036,58000,117500
E07000037,74995,150000
E07000038,62650,142000
E07000039,71000,142125
E07000040,107850,225000
E07000041,85500,182000
E07000042,95000,182500
E07000043,93500,185000
E07000044,120000,235000
E07000045,94000,190000
E07000046,87950,175000
E07000047,96500,184500
E07000048,143000,247000
E07000049,153000,255000
E07000050,116000,195000
E07000051,123000,234000
E07000052,122000,235000
E07000053,87000,177000
E07000061,95850,173250
E07000062,71000,145000
E07000063,122500,229998
E07000064,113500,215000
E07000065,129500,230000
E07000066,95000,180000
E07000067,95000,185000
E07000068,150000,258250
E07000069,104000,190000
E07000070,118000,220000
E07000071,93000,177500
E07000072,155000,280000
E07000073,93850,173000
E07000074,114725,217000
E07000075,117500,208000
E07000076,83775,151250
E07000077,155000,272950
E07000078,111000,192500
E07000079,144975,250000
E07000080,86000,169998
E07000081,75000,140000
E07000082,105000,185000
E07000083,102500,183000
E07000084,134000,210000
E07000085,148000,262250
E07000086,115000,200000
E07000087,122000,204010
E07000088,80000,143000
E07000089,175000,285000
E07000090,105000,185000
E07000091,135000,243500
E07000092,120000,200000
E07000093,135000,234000
E07000094,170050,292500
E07000095,128500,220000
E07000096,138000,241000
E07000242,145000,260000
E07000098,156000,280000
E07000099,124500,222000
E07000241,186000,340000
E07000243,91995,167500
E07000102,173750,295500
E07000103,122500,215000
E07000240,127950,240000
E07000105,114000,178000
E07000106,105000,200000
E07000107,99995,185000
E07000108,80000,157000
E07000109,97250,180000
E07000110,121000,197500
E07000111,160000,282000
E07000112,85000,175000
E07000113,85250,156000
E07000114,77000,153500
E07000115,136973,235000
E07000116,139000,245000
E07000117,36000,75000
E07000118,65000,145475
E07000119,77500,155000
E07000120,36950,85000
E07000121,56000,125000
E07000122,38000,83000
E07000123,56000,115000
E07000124,80000,184995
E07000125,46000,113000
E07000126,65500,139725
E07000127,77000,157000
E07000128,66950,134750
E07000129,79950,155000
E07000130,74975,154750
E07000131,105000,186500
E07000132,78000,149000
E07000133,79000,157500
E07000134,76975,143975
E07000135,73500,150000
E07000136,58500,120000
E07000137,65000,130000
E07000138,50000,118000
E07000139,73000,143000
E07000140,76498,130000
E07000141,79995,151000
E07000142,60000,139000
E07000143,78500,150000
E07000144,92500,168000
E07000145,62000,127500
E07000146,78000,150000
E07000147,86950,172000
E07000148,70000,138000
E07000149,94950,175000
E07000150,47000,119950
E07000151,109500,175000
E07000152,80000,154000
E07000153,69000,128000
E07000154,80000,135000
E07000155,130000,210000
E07000156,72866,128000
E07000163,77500,175000
E07000164,97000,200000
E07000165,99950,215000
E07000166,78500,180000
E07000167,85000,183875
E07000168,64000,145000
E07000169,73000,157500
E07000170,51500,110000
E07000171,58000,123600
E07000172,70500,130000
E07000173,68950,130000
E07000174,49000,105000
E07000175,68500,137500
E07000176,110000,190000
E07000177,118000,210000
E07000178,150000,256500
E07000179,153000,270000
E07000180,146250,245000
E07000181,140000,236000
E07000187,90500,178000
E07000188,82750,163000
E07000189,89250,175000
E07000190,89000,175000
E07000191,97000,181000
E07000192,64250,123500
