MSOA01CD,qualification_all_2001,qualification_2001,qualification_2001_pct
E02002559,4792,1213,0.253130217
E02002560,4371,564,0.129032258
E02002561,4516,730,0.161647476
E02002562,4260,432,0.101408451
E02002563,3926,431,0.109780948
E02002564,6421,616,0.095935213
E02002565,4080,702,0.172058824
E02002566,4691,707,0.150714133
E02002567,4712,373,0.079159593
E02002568,3703,1409,0.380502295
E02002569,6505,1862,0.286241353
E02002570,5151,420,0.081537566
E02002571,3551,256,0.072092368
E02002572,4206,591,0.140513552
E02002573,5197,1227,0.236097749
E02002483,5388,717,0.133073497
E02002484,6708,482,0.071854502
E02002485,6236,468,0.075048108
E02002486,4349,1166,0.268107611
E02002487,3906,364,0.093189964
E02002488,4152,930,0.223988439
E02002489,5207,684,0.131361629
E02002490,4684,355,0.075789923
E02002491,4398,279,0.063437926
E02002492,4326,348,0.080443828
E02002493,4403,622,0.141267318
E02002494,5461,274,0.050173961
E02002495,4001,522,0.130467383
E02002496,7118,703,0.098763698
E02002497,4523,202,0.044660623
E02002498,6508,689,0.105869699
E02002499,4873,192,0.03940078
E02002500,3965,667,0.168221942
E02002501,3872,355,0.091683884
E02002502,6796,316,0.04649794
E02002503,4626,405,0.087548638
E02002504,5863,1356,0.231280914
E02002505,4297,167,0.038864324
E02002506,3555,318,0.089451477
E02002507,4109,855,0.208079825
E02002508,3733,639,0.171175998
E02002509,4197,496,0.118179652
E02002510,4573,616,0.134703696
E02002511,7158,1824,0.254819782
E02002512,3803,886,0.232973968
E02002513,6470,742,0.114683153
E02002514,6073,901,0.148361601
E02002515,4791,523,0.109163014
E02002516,4418,366,0.082842915
E02002517,3943,272,0.068983008
E02002518,7696,1331,0.172946985
E02002519,4919,455,0.092498475
E02002520,9335,1460,0.156400643
E02002521,4209,1092,0.259444048
E02002522,4381,232,0.052955946
E02002523,4769,181,0.037953449
E02002524,4039,376,0.09309235
E02002525,6401,458,0.07155132
E02002526,4678,463,0.09897392
E02002527,4075,233,0.057177914
E02002528,4110,448,0.109002433
E02002529,4332,437,0.100877193
E02002530,4693,511,0.108885574
E02002531,5845,678,0.115996578
E02002532,4128,471,0.114098837
E02002533,4439,1211,0.272809191
E02002534,4844,1276,0.263418662
E02002535,7360,1285,0.174592391
E02002536,6721,689,0.102514507
E02002537,6043,352,0.058249214
E02002538,4030,376,0.093300248
E02002539,5805,1380,0.237726098
E02002540,4751,1089,0.229214902
E02002541,4560,665,0.145833333
E02002542,5542,338,0.060988813
E02002543,5157,421,0.08163661
E02002544,6169,482,0.078132598
E02002545,4436,630,0.142019838
E02002546,5137,462,0.08993576
E02002547,4558,825,0.181000439
E02002548,6774,520,0.076764098
E02002549,6213,1139,0.183325286
E02002550,4527,972,0.21471173
E02002551,3970,381,0.095969773
E02002552,4561,329,0.072133304
E02002553,3678,330,0.089722675
E02002554,4062,270,0.066469719
E02002555,6943,1689,0.243266599
E02002556,5430,1300,0.239410681
E02002557,5443,1377,0.252985486
E02002558,7485,2326,0.310754843
E02004290,4736,725,0.15308277
E02004291,5078,492,0.096888539
E02004292,5782,1161,0.200795572
E02004293,6497,658,0.101277513
E02004294,6378,1560,0.244590781
E02004295,5536,1005,0.181539017
E02004296,5791,737,0.127266448
E02004297,5719,1008,0.17625459
E02004298,6808,1669,0.245152761
E02004299,5693,585,0.102757773
E02004300,5448,483,0.088656388
E02004301,5778,325,0.056247837
E02004302,5509,442,0.080232347
E02004303,6886,1013,0.147110078
E02004304,5464,576,0.105417277
E02004305,5565,647,0.116262354
E02004306,4212,1080,0.256410256
E02004307,4805,812,0.168990635
E02004308,6242,1562,0.250240308
E02004309,4040,908,0.224752475
E02004310,5631,951,0.168886521
E02004311,6512,1170,0.179668305
E02004312,6046,1544,0.255375455
E02004313,4604,666,0.14465682
E02004314,9201,2356,0.256059124
E02004315,6318,2692,0.426084204
E02004316,4192,523,0.12476145
E02004317,5445,726,0.133333333
E02004318,4419,1142,0.258429509
E02004319,5113,683,0.133581068
E02004320,5647,708,0.125376306
E02004321,5932,528,0.089008766
E02004322,6119,341,0.05572806
E02004323,4846,419,0.086463062
E02004324,4378,526,0.120146185
E02004325,6209,378,0.060879369
E02004326,4209,314,0.074602043
E02004327,4825,286,0.059274611
E02004328,5771,484,0.083867614
E02004329,5350,825,0.154205607
E02004330,4657,416,0.089327893
E02004331,5020,312,0.062151394
E02004332,4768,598,0.125419463
E02004333,5577,850,0.152411691
E02004334,5311,580,0.109207306
E02004335,4798,354,0.073780742
E02004336,4957,376,0.07585233
E02004337,6124,693,0.113161332
E02004338,4990,403,0.080761523
E02004339,4663,1342,0.287797555
E02004340,7476,578,0.077314072
E02004341,6101,1204,0.197344698
E02004342,3850,232,0.06025974
E02004343,4136,393,0.095019342
E02004344,5329,618,0.115969225
E02004345,9323,1505,0.161428725
E02004346,3807,856,0.224848962
E02004347,4807,843,0.175369253
E02004348,5847,1258,0.21515307
E02004349,5777,454,0.078587502
E02004350,6397,890,0.139127716
