LAD11CD,space_all_2001_la,space_vacant_2001_la,space_vacant_2001_la_pct
E06000005,44348,2039,0.045977271
E06000047,217294,9858,0.045367106
E06000001,39340,1955,0.049694967
E06000002,58849,3685,0.062617886
E06000057,138064,7284,0.052758141
E06000003,59915,2474,0.04129183
E06000004,76218,3265,0.04283765
E08000037,87659,3392,0.038695399
E08000021,117695,6452,0.054819661
E08000022,88375,3514,0.039762376
E08000023,67992,1895,0.027870926
E08000024,120072,3716,0.030948098
E06000008,56698,3291,0.058044375
E06000009,67297,3357,0.049883353
E06000049,153186,6042,0.039442247
E06000050,137647,4760,0.034581211
E06000006,50168,2220,0.044251316
E06000007,79980,1950,0.024381095
E07000026,42818,3037,0.070928114
E07000027,32460,1935,0.05961183
E07000028,46124,2161,0.046851964
E07000029,31398,1912,0.060895598
E07000030,23369,2226,0.095254397
E07000031,49675,5546,0.111645697
E08000001,113365,5280,0.046575222
E08000002,76838,2503,0.032575028
E08000003,186285,18834,0.101103148
E08000004,91435,3611,0.039492536
E08000005,86897,3445,0.039644637
E08000006,98791,4553,0.046087194
E08000007,123624,3168,0.025626092
E08000008,94038,4057,0.043142134
E08000009,92013,2700,0.02934368
E08000010,129133,4037,0.031262342
E07000117,39802,3006,0.075523843
E07000118,42309,1282,0.030300882
E07000119,34176,1807,0.052873361
E07000120,35170,2194,0.062382713
E07000121,58857,3018,0.051276823
E07000122,38456,2496,0.064905346
E07000123,54978,2008,0.0365237
E07000124,23214,1004,0.043249763
E07000125,28583,1471,0.051464157
E07000126,43748,1020,0.023315352
E07000127,45275,1689,0.037305356
E07000128,46898,1603,0.034180562
E08000011,62188,1635,0.026291246
E08000012,197824,9959,0.050342729
E08000014,120857,4010,0.033179708
E08000013,75446,2749,0.036436657
E08000015,139221,5876,0.042206276
E06000011,136633,5549,0.040612444
E06000010,111842,7554,0.067541711
E06000012,69206,3152,0.045545184
E06000013,66593,2579,0.038727794
E06000014,79399,2479,0.031222056
E07000163,24368,1688,0.069271175
E07000164,36315,1627,0.044802423
E07000165,66084,3007,0.045502694
E07000166,20486,2361,0.115249439
E07000167,22765,1314,0.057720184
E07000168,51868,5142,0.099136269
E07000169,31968,1132,0.03541041
E08000016,95850,3685,0.038445488
E08000017,123351,4652,0.037713517
E08000018,105942,3663,0.034575522
E08000019,225218,7596,0.033727322
E08000032,192335,12089,0.062853875
E08000033,84889,3952,0.046554913
E08000034,166470,7439,0.04468673
E08000035,312541,10927,0.034961813
E08000036,136489,4277,0.031335859
E06000015,98588,6183,0.062715543
E06000016,115751,4603,0.039766395
E06000018,120346,4234,0.035181892
E06000017,14215,758,0.053323954
E07000032,51022,1893,0.037101642
E07000033,31695,1447,0.045653889
E07000034,45260,1798,0.039726027
E07000035,30737,1678,0.054592185
E07000036,47496,1272,0.026781203
E07000037,38187,1128,0.029538848
E07000038,41652,959,0.023024104
E07000039,33766,771,0.02283362
E07000129,36638,730,0.019924668
E07000130,62227,1755,0.028203192
E07000131,32241,1392,0.043174839
E07000132,42105,1020,0.024225151
E07000133,20217,602,0.02977692
E07000134,36838,1444,0.039198654
E07000135,22395,473,0.021120786
E07000136,24936,947,0.037977222
E07000137,58863,3330,0.05657204
E07000138,38438,1795,0.04669858
E07000139,40377,1507,0.037323229
E07000140,33768,1016,0.030087657
E07000141,53151,1657,0.031175331
E07000142,34942,2070,0.059241028
E07000150,22710,697,0.030691325
E07000151,29925,1178,0.039365079
E07000152,32609,1365,0.041859609
E07000153,35672,1230,0.034480825
E07000154,83528,2706,0.032396322
E07000155,32668,952,0.029141668
E07000156,31018,936,0.030176027
E07000170,48231,1631,0.033816425
E07000171,46516,1826,0.03925531
E07000172,46700,1255,0.026873662
E07000173,48571,1015,0.020897243
E07000174,43953,2352,0.053511706
E07000175,46050,1585,0.03441911
E07000176,44877,1207,0.026895737
E06000019,76987,2705,0.035135802
E06000051,122326,5025,0.041078757
E06000021,108121,4925,0.045550818
E06000020,65549,1781,0.027170514
E07000192,37904,802,0.021158717
E07000193,44420,1703,0.038338586
E07000194,38748,1248,0.032208114
E07000195,52134,1396,0.026777151
E07000196,42869,896,0.020900884
E07000197,51602,1577,0.030560831
E07000198,40588,1789,0.044077067
E07000199,29740,360,0.012104909
E07000218,25795,621,0.024074433
E07000219,49500,817,0.016505051
E07000220,37768,1285,0.034023512
E07000221,49382,2180,0.04414564
E07000222,55138,1782,0.032318909
E08000025,404302,13510,0.033415615
E08000026,126771,4418,0.034850242
E08000027,128343,3355,0.026140888
E08000028,119626,4200,0.035109424
E08000029,83440,2510,0.030081496
E08000030,105777,4444,0.042012914
E08000031,101101,3979,0.039356683
E07000234,35983,815,0.022649585
E07000235,31350,1281,0.040861244
E07000236,32750,1098,0.033526718
E07000237,40120,1060,0.026420738
E07000238,48286,1467,0.030381477
E07000239,41420,1139,0.027498793
E06000055,61440,1843,0.029996745
E06000056,96975,2710,0.027945347
E06000032,72273,1518,0.021003694
E06000031,68442,3062,0.044738611
E06000033,74310,3332,0.044839187
E06000034,59416,931,0.01566918
E07000008,44024,1366,0.03102853
E07000009,30585,805,0.026320092
E07000010,36372,1180,0.032442538
E07000011,65124,2062,0.031662674
E07000012,53584,1403,0.026183189
E07000066,70843,1636,0.023093319
E07000067,55927,1595,0.02851932
E07000068,29773,1006,0.033789003
E07000069,35810,531,0.01482826
E07000070,66013,1449,0.021950222
E07000071,65589,1883,0.028709082
E07000072,51893,1303,0.02510936
E07000073,33803,618,0.018282401
E07000074,25198,1009,0.040042861
E07000075,32773,821,0.025051109
E07000076,64907,3496,0.053861679
E07000077,28584,1065,0.037258606
E07000095,35948,1015,0.028235229
E07000096,57023,1115,0.019553513
E07000242,53368,1284,0.024059361
E07000098,38746,877,0.022634595
E07000099,49937,1127,0.022568436
E07000240,53802,1143,0.021244563
E07000243,33252,498,0.014976543
E07000102,34171,732,0.021421673
E07000103,33352,1002,0.030043176
E07000241,40705,861,0.021152193
E07000143,52620,1905,0.036202965
E07000144,51417,1408,0.027383939
E07000145,41161,1781,0.043269114
E07000146,63264,4926,0.077864188
E07000147,48354,4852,0.100343301
E07000148,57179,2595,0.045383795
E07000149,48400,1793,0.037045455
E07000200,36070,1207,0.033462711
E07000201,24372,1354,0.055555556
E07000202,51924,2055,0.039577074
E07000203,36763,1367,0.037184125
E07000204,42200,1640,0.038862559
E07000205,52697,3672,0.069681386
E07000206,51606,3182,0.061659497
E09000007,94829,3226,0.034019129
E09000001,5024,686,0.136544586
E09000012,88466,2424,0.027400357
E09000013,77742,2304,0.02963649
E09000014,94616,2446,0.025851864
E09000019,83981,1700,0.020242674
E09000020,85469,6323,0.07398004
E09000022,121743,3296,0.027073425
E09000023,109448,2036,0.018602441
E09000025,93782,1961,0.020910196
E09000028,107663,1857,0.017248265
E09000030,80781,2251,0.027865463
E09000032,121566,5913,0.048640245
E09000033,102593,11421,0.111323385
E09000002,68378,1105,0.016160168
E09000003,131143,4199,0.032018484
