MSOA11CD,space_all_2011,space_vacant_2011,space_vacant_2011_pct
E02002559,3816,170,0.044549266
E02002560,2596,85,0.032742681
E02002561,2567,60,0.023373588
E02002562,3111,178,0.057216329
E02002563,2393,50,0.020894275
E02002564,4273,136,0.031827756
E02002565,2833,166,0.058595129
E02002566,3809,334,0.087687057
E02002567,3304,95,0.028753027
E02002568,2781,147,0.052858684
E02002569,4004,92,0.022977023
E02002570,3896,173,0.044404517
E02002571,2835,77,0.027160494
E02002572,2934,207,0.070552147
E02002573,3609,121,0.033527293
E02004290,2560,42,0.01640625
E02004291,3234,103,0.031849103
E02004292,3613,90,0.024910047
E02004293,4553,141,0.030968592
E02004294,3785,130,0.034346103
E02004295,3288,75,0.022810219
E02004296,3665,136,0.037107776
E02004297,3661,111,0.030319585
E02004298,4348,170,0.039098436
E02004299,3913,155,0.039611551
E02004300,3632,141,0.038821586
E02004301,4058,145,0.035731888
E02004302,3844,314,0.081685744
E02004303,5548,295,0.053172314
E02004304,4064,168,0.041338583
E02004305,4016,200,0.049800797
E02004306,2773,92,0.033177065
E02004307,3024,146,0.048280423
E02004308,3063,76,0.024812276
E02004309,2856,87,0.030462185
E02004310,3685,159,0.043147897
E02004311,4278,160,0.037400655
E02004312,3496,87,0.024885584
E02004313,3086,129,0.041801685
E02004314,2521,158,0.062673542
E02004315,4054,209,0.051554021
E02004316,2812,168,0.059743954
E02004317,3635,81,0.022283356
E02004318,2804,138,0.049215407
E02004319,3387,94,0.027753174
E02004320,3918,67,0.017100562
E02004321,3813,151,0.039601364
E02004322,3833,64,0.016697104
E02004323,3453,116,0.033593976
E02004324,2808,220,0.078347578
E02004325,3791,69,0.018201002
E02004326,2818,105,0.037260468
E02004327,3025,112,0.037024793
E02004328,3161,46,0.014552357
E02004329,2850,43,0.015087719
E02004330,2857,115,0.040252013
E02004331,3237,153,0.047265987
E02004332,3238,125,0.038604077
E02004333,3248,53,0.016317734
E02004334,3279,87,0.026532479
E02004335,3081,152,0.049334632
E02004336,3418,154,0.045055588
E02004337,4197,160,0.038122468
E02004338,3249,220,0.067713143
E02004339,3102,105,0.03384913
E02004340,5040,228,0.045238095
E02004341,3558,84,0.023608769
E02004342,2468,67,0.027147488
E02004343,2544,52,0.020440252
E02004344,3325,81,0.024360902
E02004345,6163,408,0.066201525
E02004346,2673,329,0.123082679
E02004347,3163,151,0.047739488
E02004348,4141,441,0.106496015
