LAD11CD,householdspace_all_2011_la,householdspace_vacant_2011_la,householdspace_all_2001_la,householdspace_vacant_2001_la
E06000001,42119,1685,39340,1955
E06000002,60164,2961,58849,3685
E06000003,61965,2360,59915,2474
E06000004,82308,3149,76218,3265
E06000005,48761,2091,44348,2039
E06000006,54694,1382,50168,2220
E06000007,87962,2822,79980,1950
E06000008,59694,2341,56698,3291
E06000009,69343,4976,67297,3357
E06000010,116651,4055,111842,7554
E06000011,149958,6926,136633,5549
E06000012,72560,2853,69206,3152
E06000013,73651,2967,66593,2579
E06000014,86735,3183,79399,2479
E06000015,106687,4416,98588,6183
E06000016,127383,4258,115751,4603
E06000017,16072,1070,14215,758
E06000018,131586,5455,120346,4234
E06000019,82676,4357,76987,2705
E06000020,68730,2122,65549,1781
E06000021,111977,4402,108121,4925
E06000022,76304,2789,73252,2137
E06000023,189885,7138,167123,5033
E06000024,91954,3727,82802,2817
E06000025,110024,2486,100896,1858
E06000026,113528,4221,106583,4043
E06000027,64370,5360,60479,3059
E06000028,87016,4642,76825,4613
E06000029,66646,3116,61623,2576
E06000030,91227,2867,77512,2358
E06000031,76826,2803,68442,3062
E06000032,76295,2002,72273,1518
E06000033,79126,4448,74310,3332
E06000034,63889,1536,59416,931
E06000035,110263,4054,102892,3326
E06000036,47039,1161,44482,1090
E06000037,64657,2317,58727,1367
E06000038,65925,3056,59818,1941
E06000039,51980,1214,45790,803
E06000040,60943,2594,56557,2296
E06000041,62490,2158,58356,1084
E06000042,102048,3464,86584,3225
E06000043,126827,5287,118953,4474
E06000044,88638,3165,81698,2979
E06000045,101272,3018,93513,2296
E06000046,67676,6591,61609,4090
E06000047,233537,9734,217294,9858
E06000049,166329,6888,153186,6042
E06000050,147746,6304,137647,4760
E06000051,135645,5971,122326,5025
E06000052,259346,28957,231241,16427
E06000053,1389,400,1198,317
E06000054,202145,7951,183753,7098
E06000055,67653,3841,61440,1843
E06000056,108733,4334,96975,2710
E06000057,148043,9509,138064,7284
E07000004,72072,2666,66143,1617
E07000005,38306,1360,36401,1126
E07000006,27721,1207,25906,1125
E07000007,70235,2374,65075,1571
E07000008,48835,2121,44024,1366
E07000009,35760,1146,30585,805
E07000010,42124,1504,36372,1180
E07000011,71414,2081,65124,2062
E07000012,61751,1791,53584,1403
E07000026,45438,3093,42818,3037
E07000027,33058,1834,32460,1935
E07000028,50429,2087,46124,2161
E07000029,32450,1914,31398,1912
E07000030,25308,2265,23369,2226
E07000031,53466,6914,49675,5546
E07000032,54942,2346,51022,1893
E07000033,34364,1563,31695,1447
E07000034,48542,1746,45260,1798
E07000035,33489,2745,30737,1678
E07000036,50572,1880,47496,1272
E07000037,40821,1875,38187,1128
E07000038,44052,982,41652,959
E07000039,40382,1390,33766,771
E07000040,63956,4885,59178,4167
E07000041,51020,1778,47888,1315
E07000042,33990,1232,30084,1154
E07000043,44559,4558,40381,3605
E07000044,43245,6387,40565,5755
E07000045,57816,3813,53613,2196
E07000046,30729,2743,26596,1726
E07000047,24697,1972,21296,1107
E07000048,23142,1667,21769,1157
E07000049,38979,1415,36616,948
E07000050,30416,1746,26455,1207
E07000051,22140,2557,20625,1821
E07000052,49339,4953,44030,3520
E07000053,31043,2508,28570,1414
E07000061,47842,2830,43087,2169
E07000062,43059,1900,39766,2162
E07000063,43890,1709,41055,1327
E07000064,44069,3192,40952,2838
E07000065,65200,2524,60608,2334
E07000066,74039,1293,70843,1636
E07000067,62743,1700,55927,1595
E07000068,32088,1442,29773,1006
E07000069,37693,1253,35810,531
E07000070,71273,1606,66013,1449
E07000071,74731,3097,65589,1883
E07000072,54433,2442,51893,1303
E07000073,35752,1132,33803,618
E07000074,27212,1395,25198,1009
E07000075,34461,897,32773,821
E07000076,67036,4931,64907,3496
E07000077,32862,1546,28584,1065
E07000078,53430,2501,49959,1795
E07000079,39968,3732,36833,2409
E07000080,36175,2008,33645,1115
E07000081,52946,2583,46992,1227
E07000082,49983,2189,45975,1358
E07000083,37065,1939,33428,1056
E07000084,70965,1650,63045,1323
E07000085,49114,1856,44988,1363
E07000086,53415,1238,47851,850
E07000087,47950,1371,44403,826
E07000088,36712,1282,32674,1337
E07000089,36527,1017,33325,855
E07000090,52814,1503,50324,1864
E07000091,80332,3493,74835,2850
E07000092,37724,1380,36232,969
E07000093,49164,1538,45204,1070
E07000094,49168,2303,44420,1288
E07000095,39207,1549,35948,1015
E07000096,61969,2031,57023,1115
E07000098,41034,1256,38746,877
E07000099,54995,1569,49937,1127
E07000102,36159,1051,34171,732
E07000103,37577,896,33352,1002
E07000105,49806,2019,42969,1519
E07000106,64041,3270,58068,2484
E07000107,41250,1169,36028,788
E07000108,51615,3305,46458,2144
E07000109,41744,1313,39137,871
E07000110,65673,2226,58322,1868
E07000111,48400,1380,45648,1284
E07000112,49873,2494,44492,3337
E07000113,58053,2468,51316,2059
E07000114,65276,5763,59300,4072
E07000115,49984,1844,43899,1164
E07000116,49085,1911,43994,1299
E07000117,39964,2414,39802,3006
E07000118,46806,1887,42309,1282
E07000119,37435,2550,34176,1807
E07000120,35999,1658,35170,2194
E07000121,60942,3120,58857,3018
E07000122,39387,2039,38456,2496
E07000123,60519,2952,54978,2008
E07000124,25019,974,23214,1004
E07000125,30852,1794,28583,1471
E07000126,47715,1613,43748,1020
E07000127,47994,2613,45275,1689
E07000128,50073,2792,46898,1603
E07000129,39671,985,36638,730
E07000130,69305,2789,62227,1755
E07000131,36110,1212,32241,1392
E07000132,46926,1549,42105,1020
E07000133,22212,722,20217,602
E07000134,40472,1344,36838,1444
E07000135,22482,1143,22395,473
E07000136,28357,1066,24936,947
E07000137,65270,4380,58863,3330
E07000138,42623,2798,38438,1795
E07000139,47554,1582,40377,1507
E07000140,38695,1431,33768,1016
E07000141,59552,2208,53151,1657
E07000142,40201,1816,34942,2070
E07000143,57438,2919,52620,1905
E07000144,54885,1549,51417,1408
E07000145,44438,2359,41161,1781
E07000146,74016,11039,63264,4926
E07000147,53243,7197,48354,4852
E07000148,63538,3219,57179,2595
E07000149,54620,1811,48400,1793
E07000150,26181,966,22710,697
E07000151,32625,978,29925,1178
E07000152,37339,1677,32609,1365
E07000153,41486,1785,35672,1230
E07000154,91700,2969,83528,2706
E07000155,36048,1331,32668,952
E07000156,33083,1026,31018,936
E07000163,27020,2437,24368,1688
E07000164,39923,1806,36315,1627
E07000165,70612,3443,66084,3007
E07000166,22803,2596,20486,2361
E07000167,24743,2219,22765,1314
E07000168,56720,7285,51868,5142
E07000169,36294,1735,31968,1132
E07000170,52829,1898,48231,1631
E07000171,49419,1752,46516,1826
E07000172,48683,1863,46700,1255
E07000173,50878,1529,48571,1015
E07000174,46895,1967,43953,2352
E07000175,50955,2182,46050,1585
