MSOA01CD,all_households_2001,no_children_2001,dependent_children_2001,nondependent_children_2001,no_children_2001_pct,dependent_children_2001_pct,nondependent_children_2001_pct
E02002559,2663,701,716,246,0.263236951,0.268869696,0.092377018
E02002560,2422,542,747,271,0.223781998,0.308422791,0.111890999
E02002561,2468,581,752,260,0.23541329,0.304700162,0.10534846
E02002562,2814,424,780,188,0.150675195,0.277185501,0.066808813
E02002563,2367,445,647,276,0.18800169,0.273341783,0.116603295
E02002564,3967,602,1186,406,0.151751954,0.298966473,0.102344341
E02002565,2597,441,717,212,0.169811321,0.276087794,0.081632653
E02002566,2982,395,694,179,0.132461435,0.232729712,0.060026828
E02002567,2852,429,860,288,0.150420757,0.301542777,0.100981767
E02002568,2321,376,595,157,0.161999138,0.256355019,0.067643257
E02002569,3866,793,988,341,0.205121573,0.255561304,0.088204863
E02002570,3280,482,851,293,0.14695122,0.25945122,0.089329268
E02002571,2220,384,655,204,0.172972973,0.295045045,0.091891892
E02002572,2620,402,813,220,0.153435115,0.310305344,0.083969466
E02002573,2864,676,774,303,0.23603352,0.270251397,0.105796089
E02002483,2966,556,996,339,0.187457856,0.335805799,0.114295347
E02002484,4251,535,1228,390,0.125852741,0.288873206,0.091743119
E02002485,3708,543,1169,393,0.146440129,0.315264293,0.105987055
E02002486,2239,549,702,250,0.245198749,0.313532827,0.11165699
E02002487,2606,338,726,168,0.129700691,0.278587874,0.064466616
E02002488,2297,390,707,228,0.169786678,0.307792773,0.099259904
E02002489,3223,388,869,289,0.120384735,0.269624573,0.089668011
E02002490,2770,416,918,261,0.150180505,0.331407942,0.094223827
E02002491,2732,342,808,307,0.125183016,0.295754026,0.112371889
E02002492,2601,414,683,311,0.15916955,0.262591311,0.119569396
E02002493,2454,515,719,243,0.209861451,0.292991035,0.099022005
E02002494,3348,466,1117,340,0.139187575,0.333632019,0.101553166
E02002495,2193,489,578,261,0.222982216,0.263565891,0.119015048
E02002496,3768,338,920,221,0.08970276,0.244161359,0.058651805
E02002497,2851,327,955,277,0.114696598,0.334970186,0.097158892
E02002498,3794,371,994,290,0.097785978,0.26199262,0.076436479
E02002499,3026,275,1067,339,0.090879048,0.352610707,0.112029081
E02002500,2199,309,611,227,0.140518417,0.27785357,0.10322874
E02002501,2367,293,751,250,0.123785382,0.317279256,0.105618927
E02002502,4297,521,1170,461,0.121247382,0.272282988,0.107284152
E02002503,2660,307,944,308,0.115413534,0.354887218,0.115789474
