LAD11NM,all_households_2001_la,no_children_2001_la,dependent_children_2001_la,nondependent_children_2001_la,no_children_2001_la_pct,dependent_children_2001_la_pct,nondependent_children_2001_la_pct
Darlington,42309,7673,12064,3844,0.181356213,0.285140277,0.090855374
County Durham,207436,37765,58446,22892,0.182056152,0.281754372,0.110356929
Hartlepool,37385,5941,10732,3780,0.158914003,0.287067005,0.101110071
Middlesbrough,55164,7666,16395,5731,0.138967443,0.297204699,0.103890218
Northumberland,130780,26164,36580,13125,0.200061171,0.279706377,0.100359382
Redcar and Cleveland,57441,10032,16035,6269,0.17464877,0.279156004,0.109138072
Stockton-on-Tees,72953,12477,22455,7807,0.171027922,0.307800913,0.107014105
Gateshead,84267,13739,22801,9205,0.163041285,0.270580417,0.109236119
Newcastle upon Tyne,111243,15995,28730,10138,0.143784328,0.258263441,0.091133824
North Tyneside,84861,14547,23697,8390,0.171421501,0.279244883,0.09886756
South Tyneside,66097,9468,18628,7668,0.14324402,0.281828222,0.116011317
Sunderland,116356,18423,33562,14399,0.158333047,0.288442367,0.123749527
Blackburn with Darwen,53407,7856,16965,4880,0.147096823,0.317654989,0.09137379
Blackpool,63940,10079,16013,5373,0.157632155,0.250437911,0.084031905
Cheshire East,147144,29834,43236,14264,0.202753765,0.293834611,0.096939053
Cheshire West and Chester,132887,25804,39193,13835,0.194180018,0.294934794,0.104111012
Halton,47948,7839,15048,5943,0.163489614,0.313839993,0.123946776
Warrington,78030,14736,24644,8317,0.188850442,0.315827246,0.10658721
Allerdale,39779,7584,10915,4239,0.19065336,0.27439101,0.106563765
Barrow-in-Furness,30523,5619,8614,3010,0.184090686,0.282213413,0.09861416
Carlisle,43963,7910,11861,4431,0.179924027,0.269795055,0.1007893
Copeland,29486,5348,8331,3090,0.181374211,0.282540867,0.104795496
Eden,21143,4434,5687,2153,0.209714799,0.268977912,0.101830393
South Lakeland,44129,9412,10934,3730,0.213283782,0.247773573,0.084524916
Bolton,108085,17885,32094,11083,0.16547162,0.296932969,0.102539668
Bury,74335,12991,23108,7826,0.174762898,0.310862985,0.105280151
Manchester,167451,19100,44475,13800,0.114063218,0.265600086,0.082412168
Oldham,87824,14432,26648,8907,0.164328657,0.303425032,0.101418747
Rochdale,83452,13288,25418,8402,0.159229258,0.304582275,0.100680631
Salford,94238,13360,25144,9461,0.141768713,0.266813812,0.100394745
Stockport,120456,20855,35537,12176,0.173133758,0.295020588,0.101082553
Tameside,89981,14946,26739,9478,0.166101733,0.297162734,0.105333348
Trafford,89313,14951,26123,8801,0.167400043,0.292488216,0.098541086
Wigan,125096,22838,37685,14852,0.182563791,0.301248641,0.118724819
Burnley,36796,5891,11077,3553,0.160098924,0.301038156,0.096559409
Chorley,41027,8431,12582,4462,0.205498818,0.306676091,0.108757647
Fylde,32369,5993,8144,2578,0.185146282,0.251598752,0.079644104
Hyndburn,32976,5712,9686,3215,0.173216885,0.293728772,0.097495148
Lancaster,55839,9781,15094,4304,0.175164312,0.270312864,0.077078744
Pendle,35958,6267,10163,3330,0.174286668,0.282635297,0.092608043
Preston,52970,8309,15721,4845,0.156862375,0.296790636,0.091466868
Ribble Valley,22212,4519,6531,2190,0.203448586,0.294030254,0.098595354
Rossendale,27113,4964,8131,2574,0.183085605,0.29989304,0.094936009
South Ribble,42728,8236,12931,4667,0.192754166,0.302635274,0.1092258
West Lancashire,43586,7906,13106,5120,0.181388519,0.300692883,0.117468912
Wyre,45295,8271,11770,4280,0.182602936,0.259852081,0.094491666
Knowsley,60554,7221,18891,8036,0.119248935,0.311969482,0.132707996
Liverpool,187865,20179,51274,21034,0.107412238,0.27293003,0.111963378
Sefton,116847,16539,32703,13773,0.14154407,0.279878816,0.117872089
St. Helens,72697,11898,21315,9527,0.163665626,0.293203296,0.1310508
Wirral,133345,19562,38179,14199,0.146702164,0.286317447,0.106483183
East Riding of Yorkshire,131084,27585,36855,12343,0.210437582,0.281155595,0.094160996
"Kingston upon Hull, City of",104288,15880,28886,9776,0.152270635,0.27698297,0.093740411
