MSOA01CD,economically_inactive_2001,retired_2001,student_2001,retired_2001_pct,student_2001_pct
E02002559,1352,699,114,0.517011834,0.084319527
E02002560,1181,572,89,0.484335309,0.075359865
E02002561,1246,578,117,0.46388443,0.093900482
E02002562,1467,546,109,0.372188139,0.074301295
E02002563,1432,592,108,0.413407821,0.075418994
E02002564,2325,950,175,0.408602151,0.075268817
E02002565,1159,486,91,0.419327006,0.078515962
E02002566,1673,461,162,0.275552899,0.096832038
E02002567,1917,835,139,0.435576421,0.072509129
E02002568,1310,738,166,0.563358779,0.126717557
E02002569,2483,1588,209,0.639548933,0.084172372
E02002570,1903,704,132,0.369942197,0.069364162
E02002571,1384,537,82,0.38800578,0.059248555
E02002572,1669,560,156,0.335530258,0.093469143
E02002573,1616,846,136,0.523514851,0.084158416
E02002483,1864,781,180,0.418991416,0.096566524
E02002484,3138,1014,236,0.323135755,0.075207138
E02002485,2778,827,222,0.297696184,0.079913607
E02002486,1378,704,183,0.510885341,0.132801161
E02002487,1556,458,134,0.294344473,0.086118252
E02002488,1476,742,189,0.502710027,0.12804878
E02002489,2105,674,243,0.320190024,0.11543943
E02002490,1847,570,171,0.308608554,0.092582566
E02002491,2125,870,172,0.409411765,0.080941176
E02002492,1948,757,148,0.388603696,0.075975359
E02002493,1495,713,140,0.476923077,0.093645485
E02002494,2618,806,187,0.307868602,0.071428571
E02002495,1480,789,111,0.533108108,0.075
E02002496,3849,552,1254,0.143413874,0.325798909
E02002497,2037,533,180,0.261659303,0.088365243
E02002498,3113,680,938,0.218438805,0.301317058
E02002499,2504,759,198,0.303115016,0.079073482
E02002500,1463,460,275,0.31442242,0.187969925
E02002501,1772,510,176,0.287810384,0.099322799
E02002502,3349,1007,248,0.300686772,0.074051956
E02002503,1898,552,200,0.290832455,0.105374078
E02002504,1961,759,372,0.387047425,0.189699133
E02002505,2166,700,179,0.323176362,0.082640813
E02002506,1756,480,167,0.273348519,0.095102506
E02002507,1428,769,173,0.538515406,0.121148459
E02002508,1459,827,138,0.566826594,0.094585332
E02002509,1666,693,182,0.415966387,0.109243697
E02002510,1536,820,152,0.533854167,0.098958333
E02002511,2388,1216,348,0.50921273,0.145728643
E02002512,1274,710,140,0.557299843,0.10989011
E02002513,2617,826,283,0.315628582,0.108139091
E02002514,2037,700,235,0.343642612,0.115365734
E02002515,1841,659,167,0.357957632,0.09071157
E02002516,1889,731,169,0.386977237,0.089465326
E02002517,1781,703,138,0.394722066,0.077484559
E02002518,2538,1235,286,0.486603625,0.112687155
E02002519,2379,875,200,0.367801597,0.084068937
E02002520,3736,1914,345,0.512312634,0.092344754
E02002521,1662,761,148,0.45788207,0.089049338
E02002522,2005,505,198,0.251870324,0.098753117
E02002523,2367,471,199,0.198986058,0.084072666
E02002524,1409,542,114,0.384669979,0.080908446
E02002525,2629,1055,204,0.401293267,0.077596044
E02002526,1725,639,144,0.370434783,0.083478261
E02002527,1779,503,140,0.282743114,0.078695897
E02002528,1684,852,146,0.505938242,0.086698337
E02002529,1656,696,120,0.420289855,0.072463768
E02002530,1939,763,126,0.393501805,0.064981949
E02002531,2561,1166,219,0.455290902,0.085513471
E02002532,1590,728,113,0.457861635,0.071069182
E02002533,1518,795,183,0.523715415,0.12055336
E02002534,1558,855,182,0.548780488,0.116816431
E02002535,1989,813,296,0.408748115,0.148818502
E02002536,2818,1364,237,0.484031228,0.0841022
E02002537,2658,977,230,0.367569601,0.086531226
E02002538,1422,524,152,0.368495077,0.106891702
E02002539,1846,906,233,0.490790899,0.126218852
E02002540,1659,910,189,0.548523207,0.113924051
E02002541,1678,752,146,0.448152563,0.087008343
E02002542,2341,793,224,0.338744126,0.095685604
E02002543,2305,788,184,0.34186551,0.079826464
E02002544,2571,690,186,0.268378063,0.072345391
E02002545,1267,592,163,0.467245462,0.128650355
E02002546,2057,611,213,0.297034516,0.103548858
E02002547,1711,932,171,0.544710695,0.099941555
E02002548,3152,777,308,0.246510152,0.097715736
E02002549,2157,1192,222,0.552619379,0.102920723
E02002550,1637,747,229,0.456322541,0.139890043
E02002551,1774,451,389,0.254227734,0.219278467
E02002552,1797,603,176,0.335559265,0.097941013
E02002553,1566,709,98,0.452745849,0.062579821
E02002554,1638,565,152,0.344932845,0.092796093
E02002555,2105,1079,246,0.512589074,0.116864608
E02002556,1261,467,206,0.370340999,0.163362411
E02002557,858,232,129,0.27039627,0.15034965
E02002558,2255,1020,354,0.45232816,0.156984479
E02004290,1287,536,152,0.416472416,0.118104118
