MSOA11CD,residents_all_2011,migrants_2011,migrants_2011_pct
E02002559,8842,650,0.07351278
E02002560,5997,376,0.062698016
E02002561,5741,287,0.049991291
E02002562,6066,547,0.090174744
E02002563,5463,332,0.060772469
E02002564,9502,543,0.057145864
E02002565,5450,613,0.112477064
E02002566,6918,1141,0.164932061
E02002567,7254,591,0.081472291
E02002568,5905,566,0.095850974
E02002569,9095,488,0.053655855
E02002570,8213,765,0.093145014
E02002571,6516,478,0.073357888
E02002572,6312,629,0.099651458
E02002573,8290,662,0.079855247
E02004290,5981,281,0.04698211
E02004291,6787,385,0.056726094
E02004292,7916,513,0.064805457
E02004293,9379,617,0.065785265
E02004294,8484,541,0.063767091
E02004295,7537,411,0.05453098
E02004296,8033,467,0.058135192
E02004297,7900,416,0.052658228
E02004298,9703,563,0.058023292
E02004299,8474,615,0.072574935
E02004300,7686,454,0.059068436
E02004301,8894,612,0.068810434
E02004302,7747,694,0.089583064
E02004303,11457,843,0.073579471
E02004304,8892,713,0.080184435
E02004305,8640,686,0.079398148
E02004306,5789,323,0.055795474
E02004307,6570,353,0.053729072
E02004308,7819,664,0.084921345
E02004309,5902,473,0.080142325
E02004310,7962,561,0.070459683
E02004311,9108,531,0.058300395
E02004312,7549,410,0.054311829
E02004313,6684,1089,0.162926391
E02004314,12248,5040,0.411495754
E02004315,10184,1982,0.19461901
E02004316,5683,350,0.06158719
E02004317,7663,465,0.060681195
E02004318,6099,579,0.094933596
E02004319,7474,387,0.051779502
E02004320,8956,473,0.052813756
E02004321,8345,573,0.068663871
E02004322,8490,506,0.059599529
E02004323,7906,752,0.095117632
E02004324,5732,403,0.070307048
E02004325,8722,552,0.063288237
E02004326,6190,294,0.047495961
E02004327,6374,382,0.05993097
E02004328,7337,398,0.054245604
E02004329,6772,322,0.04754873
E02004330,5944,314,0.05282638
E02004331,7085,459,0.064784757
E02004332,7278,367,0.050425941
E02004333,7181,351,0.048878986
E02004334,7370,265,0.035956581
E02004335,6289,552,0.087772301
E02004336,6876,387,0.056282723
E02004337,9106,690,0.075774215
E02004338,6761,383,0.056648425
E02004339,6879,304,0.04419247
E02004340,10363,489,0.047187108
E02004341,8417,469,0.055720566
E02004342,5967,520,0.087145969
E02004343,5527,350,0.063325493
E02004344,7034,416,0.059141314
E02004345,12759,613,0.048044518
E02004346,5241,311,0.059339821
E02004347,7040,619,0.087926136
E02004348,8063,394,0.048865187
E02004349,9228,485,0.052557434
E02004350,9614,619,0.064385271
E02004351,7025,464,0.066049822
E02004352,7566,770,0.101771081
E02004353,7549,397,0.052589747
E02004354,8755,608,0.069446031
E02004355,7257,616,0.084883561
E02002483,9084,631,0.069462792
E02002484,10316,707,0.068534316
E02002485,7835,604,0.077089981
E02002487,5357,835,0.155870823
E02002488,6110,404,0.066121113
E02002489,7927,965,0.12173584
E02002490,6079,509,0.083730877
E02002491,6559,484,0.073791737
E02002492,6684,414,0.061938959
E02002493,6458,354,0.054815732
E02002494,7750,453,0.058451613
E02006909,11869,531,0.044738394
E02002496,11646,2117,0.181779152
E02002497,6268,682,0.108806637
