LAD11CD,residential_sale_2001_la,residential__sale_2011_la,newlybuilt_sale_2001_la,newlybuilt_sale_2011_la,newlybuilt_sale_2001_la_pct,newlybuilt_sale_2011_la_pct
E06000001,2222,878,408,138,0.183618362,0.157175399
E06000002,2546,1374,105,207,0.041241163,0.150655022
E06000003,2826,1445,251,136,0.088818117,0.094117647
E06000004,4442,2304,874,347,0.196758217,0.150607639
E06000005,2941,1144,445,68,0.151309079,0.059440559
E06000006,2037,917,190,62,0.093274423,0.067611778
E06000007,4121,2142,433,278,0.105071585,0.129785247
E06000008,3137,1214,357,26,0.113802996,0.021416804
E06000009,4293,1528,192,28,0.044723969,0.018324607
E06000010,4965,2371,609,222,0.12265861,0.093631379
E06000011,9092,4471,1270,351,0.139683238,0.078505927
E06000012,4031,1828,433,147,0.107417514,0.080415755
E06000013,3800,1724,594,187,0.156315789,0.108468677
E06000014,4727,2902,584,196,0.123545589,0.067539628
E06000015,5499,2915,401,217,0.07292235,0.074442539
E06000016,5582,2548,240,330,0.042995342,0.129513344
E06000017,886,461,177,14,0.199774266,0.030368764
E06000018,5603,2633,397,147,0.070854899,0.055829852
E06000019,4264,2101,586,116,0.137429644,0.055211804
E06000020,3932,1595,558,296,0.141912513,0.185579937
E06000021,4530,2245,311,119,0.068653422,0.053006682
E06000022,3785,2354,151,119,0.03989432,0.050552251
E06000023,9460,5784,458,554,0.048414376,0.095781466
E06000024,5715,3144,791,384,0.138407699,0.122137405
E06000025,6783,3459,702,306,0.103494029,0.088464874
E06000026,6212,3109,287,294,0.046200901,0.094564169
E06000027,4417,1977,272,146,0.061580258,0.073849267
E06000028,5909,2915,278,264,0.047046878,0.090566038
E06000029,4480,2196,291,143,0.064955357,0.065118397
E06000030,5247,2751,530,481,0.101010101,0.174845511
E06000031,4834,2180,559,483,0.115639222,0.221559633
E06000032,4744,1750,81,50,0.017074199,0.028571429
E06000033,4903,2538,99,126,0.020191719,0.04964539
E06000034,4167,1685,713,163,0.171106311,0.096735905
E06000035,6955,3183,504,324,0.072465852,0.101790763
E06000036,3145,1540,265,182,0.084260731,0.118181818
E06000037,3689,2087,397,121,0.10761724,0.057977959
E06000038,3981,2034,309,107,0.077618689,0.052605703
E06000039,3185,1167,401,136,0.125902669,0.116538132
E06000040,3182,1868,183,116,0.057510999,0.062098501
E06000041,3840,2261,287,123,0.074739583,0.054400708
E06000042,6858,3397,1031,686,0.150335375,0.201942891
E06000043,8289,4285,320,47,0.038605381,0.010968495
E06000044,5031,2274,224,104,0.044523952,0.045734389
E06000045,5279,2532,329,250,0.06232241,0.098736177
E06000046,3927,2199,304,96,0.077412783,0.043656207
E06000047,10202,5296,1153,800,0.113017055,0.151057402
E06000049,9212,4730,1059,228,0.114958749,0.04820296
E06000050,7330,3596,766,345,0.104502046,0.095939933
E06000051,6439,3141,706,238,0.109644355,0.075772047
E06000052,13357,7445,1364,889,0.102118739,0.119408999
E06000053,18,17,1,0,0.055555556,0
E06000054,10881,6118,1452,890,0.133443617,0.145472377
