MSOA01CD,tenure_all_2001,owned_2001,rented_2001,owned_2001_pct,rented_2001_pct
E02002559,2664,2232,335,0.837837838,0.125750751
E02002560,2421,2177,220,0.8992152,0.090871541
E02002561,2468,2076,362,0.841166937,0.146677472
E02002562,2816,1670,1079,0.593039773,0.383167614
E02002563,2368,1528,787,0.64527027,0.332347973
E02002564,3968,2386,1482,0.601310484,0.373487903
E02002565,2597,2057,485,0.792067771,0.186753947
E02002566,2984,1581,1271,0.529825737,0.425938338
E02002567,2850,1773,1025,0.622105263,0.359649123
E02002568,2322,1912,370,0.823428079,0.159345392
E02002569,3866,3556,251,0.919813761,0.064924987
E02002570,3280,2025,1193,0.617378049,0.363719512
E02002571,2220,1356,832,0.610810811,0.374774775
E02002572,2620,1457,1104,0.55610687,0.421374046
E02002573,2864,2418,371,0.844273743,0.129539106
E02002483,2966,2252,646,0.759271746,0.217801753
E02002484,4251,1620,2439,0.381086803,0.573747354
E02002485,3709,1894,1648,0.510649771,0.444324616
E02002486,2239,2082,118,0.92987941,0.052702099
E02002487,2606,1326,1204,0.508825787,0.462010744
E02002488,2298,2020,240,0.879025239,0.104438642
E02002489,3223,1871,1239,0.580515048,0.384424449
E02002490,2768,1839,862,0.664378613,0.311416185
E02002491,2732,1580,1011,0.578330893,0.370058565
E02002492,2602,1545,959,0.59377402,0.368562644
E02002493,2452,2098,312,0.855628059,0.127243067
E02002494,3348,1402,1787,0.418757467,0.533751493
E02002495,2192,1893,258,0.863594891,0.11770073
E02002496,3768,1395,2194,0.37022293,0.582271762
E02002497,2850,1346,1378,0.472280702,0.483508772
E02002498,3794,1879,1742,0.495255667,0.45914602
E02002499,3026,1234,1624,0.407799075,0.536682089
E02002500,2199,1671,464,0.759890859,0.211005002
E02002501,2368,1132,1142,0.478040541,0.482263514
E02002502,4296,1639,2407,0.381517691,0.560288641
E02002503,2660,1485,1072,0.558270677,0.403007519
E02002504,3105,2731,290,0.879549114,0.093397746
E02002505,2579,1052,1371,0.407910043,0.531601396
E02002506,2208,828,1279,0.375,0.579257246
E02002507,2297,2161,101,0.940792338,0.043970396
E02002508,2094,1919,142,0.916427889,0.067812798
E02002509,2306,1559,662,0.676062446,0.28707719
E02002510,2424,2252,120,0.929042904,0.04950495
E02002511,3670,3398,205,0.925885559,0.055858311
E02002512,2118,1914,144,0.90368272,0.067988669
E02002513,3828,1942,1739,0.507314525,0.454284222
E02002514,3574,2017,1370,0.564353665,0.383324007
E02002515,2986,2060,828,0.689886135,0.277294039
E02002516,2542,1605,857,0.631392604,0.337136113
E02002517,2405,1468,897,0.61039501,0.372972973
E02002518,4354,3971,289,0.91203491,0.066375746
E02002519,3049,1473,1518,0.483109216,0.497868153
E02002520,5180,4378,687,0.845173745,0.132625483
E02002521,2592,1886,638,0.727623457,0.246141975
E02002522,2504,1190,1242,0.475239617,0.49600639
E02002523,2837,823,1942,0.290095171,0.684525908
E02002524,2176,1685,449,0.774356618,0.206341912
E02002525,3653,2480,1073,0.67889406,0.29373118
E02002526,2634,1813,748,0.688306758,0.28397874
E02002527,2290,1367,867,0.596943231,0.37860262
E02002528,2241,1823,363,0.813476127,0.161981258
E02002529,2563,1728,792,0.67420991,0.309012876
E02002530,2694,1773,833,0.658129176,0.309205642
E02002531,3310,2295,933,0.693353474,0.281873112
E02002532,2669,1499,1085,0.561633571,0.406519296
E02002533,2333,2114,187,0.906129447,0.080154308
E02002534,2429,2275,108,0.936599424,0.044462742
E02002535,3784,3497,217,0.924154334,0.057346723
E02002536,4160,2945,1140,0.707932692,0.274038462
E02002537,3591,2073,1458,0.577276525,0.406015038
E02002538,2353,1588,728,0.674883128,0.309392265
E02002539,2992,2671,253,0.892713904,0.084558824
E02002540,2630,2385,178,0.906844106,0.067680608
E02002541,2704,2093,560,0.774038462,0.207100592
E02002542,3296,1829,1405,0.554915049,0.426274272
E02002543,3061,1210,1749,0.395295655,0.571381901
E02002544,3230,1867,1295,0.578018576,0.400928793
E02002545,2284,2129,122,0.932136602,0.053415061
E02002546,3056,1728,1250,0.565445026,0.409031414
E02002547,2653,2223,390,0.837919337,0.147003392
E02002548,4489,1552,2748,0.345734016,0.612163065
E02002549,3344,3052,239,0.912679426,0.071471292
E02002550,2618,2047,530,0.781894576,0.202444614
E02002551,2479,1115,1303,0.449778136,0.525615167
E02002552,2592,1450,1098,0.55941358,0.423611111
E02002553,2162,1418,693,0.655874191,0.32053654
E02002554,2271,1195,1034,0.526199912,0.455306033
E02002555,3786,3321,400,0.877179081,0.105652404
E02002556,2681,2518,111,0.93920179,0.041402462
E02002557,2767,2613,117,0.944344055,0.042284062
E02002558,3971,3405,484,0.857466633,0.121883657
E02004290,2475,2179,258,0.88040404,0.104242424
E02004291,2984,1893,1023,0.634383378,0.342828418
E02004292,3239,2693,501,0.831429454,0.15467737
E02004293,4213,1996,2122,0.473771659,0.503679089
E02004294,3542,3302,181,0.932241671,0.051101073
E02004295,3075,2182,819,0.709593496,0.266341463
E02004296,3323,2175,1085,0.65452904,0.326512188
E02004297,3261,2592,594,0.794848206,0.182152714
E02004298,3812,3003,730,0.787775446,0.191500525
E02004299,3351,2320,949,0.692330648,0.283199045
E02004300,3274,1834,1377,0.560171045,0.420586439
E02004301,3521,1720,1736,0.488497586,0.49304175
E02004302,3255,2331,832,0.716129032,0.255606759
E02004303,4241,3323,805,0.783541618,0.189813723
E02004304,3169,2165,934,0.683180814,0.294730199
E02004305,3411,1973,1351,0.57842275,0.396071533
E02004306,2430,1826,541,0.751440329,0.222633745
E02004307,2757,1917,755,0.695321001,0.273848386
E02004308,2811,2557,211,0.909640697,0.075062255
E02004309,2539,1688,786,0.664828673,0.309570697
E02004310,3240,2029,1147,0.626234568,0.354012346
E02004311,3848,2509,1276,0.652027027,0.331600832
E02004312,3287,2925,323,0.889869182,0.098265896
E02004313,2679,1171,1429,0.437103397,0.533407988
E02004314,2039,835,966,0.409514468,0.473761648
E02004315,3148,2544,508,0.808132147,0.1613723
E02004316,2472,1628,777,0.658576052,0.314320388
E02004317,3292,1828,1393,0.555285541,0.423147023
E02004318,2497,1763,662,0.706047257,0.265118142
E02004319,2997,1975,958,0.658992326,0.319652986
E02004320,3092,2336,650,0.75549806,0.210219922
E02004321,3371,2359,890,0.699792346,0.264016612
E02004322,3736,1461,2059,0.391059957,0.551124197
E02004323,2764,2009,664,0.726845152,0.240231548
E02004324,2464,1816,578,0.737012987,0.234577922
E02004325,3718,1663,1866,0.447283486,0.501882733
E02004326,2485,1442,921,0.58028169,0.370623742
E02004327,2884,1852,928,0.642163662,0.321775312
E02004328,3104,1887,1086,0.607925258,0.349871134
E02004329,2755,2072,606,0.752087114,0.219963702
E02004330,2750,1902,758,0.691636364,0.275636364
E02004331,2983,1672,1161,0.560509554,0.389205498
E02004332,2683,1734,836,0.646291465,0.311591502
E02004333,3076,2407,615,0.782509753,0.19993498
E02004334,3121,1970,1096,0.631207946,0.351169497
E02004335,3021,1570,1396,0.519695465,0.462098643
E02004336,3194,1714,1420,0.536631183,0.444583594
E02004337,3618,2474,1052,0.683803206,0.29076838
E02004338,2980,1939,982,0.650671141,0.329530201
E02004339,2668,2163,438,0.81071964,0.164167916
E02004340,4701,2858,1749,0.607955754,0.3720485
E02004341,3207,2735,412,0.852821952,0.128468974
E02004342,2256,812,1411,0.359929078,0.625443262
E02004343,2495,1487,947,0.595991984,0.379559118
E02004344,3177,2041,1083,0.642429965,0.34088763
E02004345,5526,3849,1381,0.696525516,0.249909519
E02004346,2172,1402,604,0.645488029,0.278084715
E02004347,2765,1946,690,0.703797468,0.24954792
E02004348,3453,2596,697,0.75181002,0.201853461
E02004349,3621,1937,1601,0.534935101,0.442143054
E02004350,3731,2971,636,0.79630126,0.170463683
E02004351,3083,1567,1443,0.508271164,0.4680506
E02004352,3051,2191,760,0.718125205,0.249098656
E02004353,3331,2928,324,0.879015311,0.097268088
E02004354,3091,2110,892,0.682626982,0.288579748
E02004355,3129,1521,1548,0.486097795,0.49472675
E02005702,2490,1490,645,0.598393574,0.259036145
E02005703,2990,1526,1304,0.510367893,0.436120401
E02005704,5015,3497,1334,0.697308076,0.266001994
E02005705,3040,1881,820,0.61875,0.269736842
E02005706,4099,2147,1791,0.523786289,0.436935838
E02005707,2939,2057,672,0.699897924,0.2286492
E02005708,4615,2449,1597,0.530660888,0.346045504
E02005709,2925,994,1823,0.33982906,0.623247863
E02005710,3788,2434,1223,0.642555438,0.322861668
E02005711,3627,1768,1745,0.487455197,0.481113868
E02005712,2545,1726,747,0.678192534,0.293516699
E02005713,2469,2355,81,0.953827461,0.032806804
E02005714,2012,1951,36,0.969681909,0.017892644
E02005715,3665,1882,1664,0.513506139,0.454024557
E02005716,3684,2665,952,0.72339848,0.258414767
E02005717,3496,2470,918,0.706521739,0.262585812
E02005718,2974,2614,305,0.878950908,0.102555481
E02005719,3328,2069,1160,0.621694712,0.348557692
E02005720,4232,2860,1184,0.675803403,0.279773157
E02005721,2018,1370,584,0.67888999,0.289395441
E02005722,2647,1770,639,0.668681526,0.241405365
E02005723,3054,2010,865,0.658153242,0.283235102
E02005724,2478,2365,88,0.954398709,0.03551251
E02005725,2692,2261,339,0.839895988,0.125928678
E02005726,2913,2455,300,0.842773773,0.102986612
E02005727,2614,1549,847,0.592578424,0.324024484
E02005728,3020,2024,820,0.670198675,0.271523179
E02005729,2352,1808,425,0.768707483,0.180697279
E02005730,5387,3768,1389,0.699461667,0.257842955
E02005731,4179,2905,1183,0.695142379,0.283082077
E02005732,3702,2758,760,0.745002701,0.205294435
E02005733,3331,2206,865,0.662263585,0.259681777
E02005734,2707,1574,1030,0.581455486,0.380495013
E02005735,3608,2534,960,0.70232816,0.266075388
